# Energy(eV)  Abs(norm)
3.10675213 -0.00105234
3.11020024 -0.00521314
3.11364836 -0.00104970
3.11709647 -0.00520802
3.12054459 -0.00104823
3.12399271 -0.00520450
3.12744082 -0.00104722
3.13088894 -0.00520205
3.13433705 -0.00104713
3.13778517 -0.00519901
3.14123328 -0.00104672
3.14468140 -0.00519503
3.14812951 -0.00104514
3.15157763 -0.00519096
3.15502575 -0.00104280
3.15847386 -0.00518635
3.16192198 -0.00104027
3.16537009 -0.00518131
3.16881821 -0.00103834
3.17226632 -0.00517625
3.17571444 -0.00103641
3.17916255 -0.00517232
3.18261067 -0.00103512
3.18605879 -0.00516914
3.18950690 -0.00103473
3.19295502 -0.00516639
3.19640313 -0.00103491
3.19985125 -0.00516357
3.20329936 -0.00103462
3.20674748 -0.00516032
3.21019559 -0.00103296
3.21364371 -0.00515629
3.21709183 -0.00103103
3.22053994 -0.00515153
3.22398806 -0.00102979
3.22743617 -0.00514729
3.23088429 -0.00102873
3.23433240 -0.00514372
3.23778052 -0.00102697
3.24122863 -0.00513940
3.24467675 -0.00102454
3.24812487 -0.00513413
3.25157298 -0.00102218
3.25502110 -0.00512933
3.25846921 -0.00102090
3.26191733 -0.00512661
3.26536544 -0.00102090
3.26881356 -0.00512446
3.27226167 -0.00102173
3.27570979 -0.00512140
3.27915791 -0.00102142
3.28260602 -0.00511721
3.28605414 -0.00101901
3.28950225 -0.00511220
3.29295037 -0.00101626
3.29639848 -0.00510679
3.29984660 -0.00101370
3.30329471 -0.00510181
3.30674283 -0.00101177
3.31019095 -0.00509753
3.31363906 -0.00100969
3.31708718 -0.00509305
3.32053529 -0.00100777
3.32398341 -0.00508810
3.32743152 -0.00100584
3.33087964 -0.00508294
3.33432775 -0.00100392
3.33777587 -0.00507844
3.34122399 -0.00100233
3.34467210 -0.00507408
3.34812022 -0.00100172
3.35156833 -0.00507073
3.35501645 -0.00100139
3.35846456 -0.00506791
3.36191268 -0.00100050
3.36536079 -0.00506449
3.36880891 -0.00099854
3.37225703 -0.00505920
3.37570514 -0.00099540
3.37915326 -0.00505311
3.38260137 -0.00099294
3.38604949 -0.00504797
3.38949760 -0.00099131
3.39294572 -0.00504410
3.39639384 -0.00099083
3.39984195 -0.00504073
3.40329007 -0.00099027
3.40673818 -0.00503738
3.41018630 -0.00098949
3.41363441 -0.00503385
3.41708253 -0.00098857
3.42053064 -0.00503022
3.42397876 -0.00098735
3.42742688 -0.00502641
3.43087499 -0.00098598
3.43432311 -0.00502201
3.43777122 -0.00098469
3.44121934 -0.00501762
3.44466745 -0.00098329
3.44811557 -0.00501374
3.45156368 -0.00098229
3.45501180 -0.00500984
3.45845992 -0.00098171
3.46190803 -0.00500583
3.46535615 -0.00098099
3.46880426 -0.00500148
3.47225238 -0.00097964
3.47570049 -0.00499743
3.47914861 -0.00097807
3.48259672 -0.00499335
3.48604484 -0.00097738
3.48949296 -0.00498942
3.49294107 -0.00097721
3.49638919 -0.00498609
3.49983730 -0.00097665
3.50328542 -0.00498220
3.50673353 -0.00097564
3.51018165 -0.00497742
3.51362976 -0.00097377
3.51707788 -0.00497210
3.52052600 -0.00097223
3.52397411 -0.00496752
3.52742223 -0.00097081
3.53087034 -0.00496311
3.53431846 -0.00096940
3.53776657 -0.00495827
3.54121469 -0.00096729
3.54466280 -0.00495224
3.54811092 -0.00096412
3.55155904 -0.00494637
3.55500715 -0.00096098
3.55845527 -0.00494097
3.56190338 -0.00095898
3.56535150 -0.00493671
3.56879961 -0.00095835
3.57224773 -0.00493322
3.57569584 -0.00095842
3.57914396 -0.00493026
3.58259208 -0.00095842
3.58604019 -0.00492716
3.58948831 -0.00095788
3.59293642 -0.00492311
3.59638454 -0.00095680
3.59983265 -0.00491844
3.60328077 -0.00095448
3.60672888 -0.00491341
3.61017700 -0.00095212
3.61362512 -0.00490865
3.61707323 -0.00095030
3.62052135 -0.00490459
3.62396946 -0.00094946
3.62741758 -0.00490100
3.63086569 -0.00094881
3.63431381 -0.00489698
3.63776192 -0.00094731
3.64121004 -0.00489195
3.64465816 -0.00094549
3.64810627 -0.00488668
3.65155439 -0.00094374
3.65500250 -0.00488194
3.65845062 -0.00094280
3.66189873 -0.00487799
3.66534685 -0.00094159
3.66879496 -0.00487433
3.67224308 -0.00094054
3.67569120 -0.00487035
3.67913931 -0.00093988
3.68258743 -0.00486674
3.68603554 -0.00093930
3.68948366 -0.00486308
3.69293177 -0.00093905
3.69637989 -0.00485903
3.69982801 -0.00093801
3.70327612 -0.00485432
3.70672424 -0.00093669
3.71017235 -0.00484856
3.71362047 -0.00093421
3.71706858 -0.00484284
3.72051670 -0.00093180
3.72396481 -0.00483715
